In,Out,Date,Time,Branch,Group
24,23,12/28/2024,1:00 PM,Indian Trail,IT Main
40,51,12/28/2024,1:00 PM,Hillyard,HY North
100,121,12/28/2024,1:00 PM,Central,1st Floor Main Entrance
77,67,12/28/2024,12:00 PM,South Hill,SO Main
86,102,12/28/2024,12:00 PM,Shadle Park,SH East
31,37,12/28/2024,12:00 PM,Liberty Park,LP Main
24,22,12/28/2024,12:00 PM,Indian Trail,IT Main
35,25,12/28/2024,12:00 PM,Hillyard,HY North
100,115,12/28/2024,12:00 PM,Central,1st Floor Main Entrance
65,62,12/28/2024,11:00 AM,South Hill,SO Main
72,56,12/28/2024,11:00 AM,Shadle Park,SH East
45,52,12/28/2024,11:00 AM,Liberty Park,LP Main
15,11,12/28/2024,11:00 AM,Indian Trail,IT Main
22,24,12/28/2024,11:00 AM,Hillyard,HY North
79,83,12/28/2024,11:00 AM,Central,1st Floor Main Entrance
82,63,12/28/2024,10:00 AM,South Hill,SO Main
91,43,12/28/2024,10:00 AM,Shadle Park,SH East
80,49,12/28/2024,10:00 AM,Liberty Park,LP Main
13,8,12/28/2024,10:00 AM,Indian Trail,IT Main
33,22,12/28/2024,10:00 AM,Hillyard,HY North
142,58,12/28/2024,10:00 AM,Central,1st Floor Main Entrance
5,1,12/28/2024,9:00 AM,Liberty Park,LP Main
2,2,12/28/2024,9:00 AM,Indian Trail,IT Main
2,0,12/28/2024,9:00 AM,Hillyard,HY North
5,10,12/28/2024,9:00 AM,Central,1st Floor Main Entrance
21,15,12/28/2024,8:00 AM,Liberty Park,LP Main
3,0,12/28/2024,8:00 AM,Hillyard,HY North
8,20,12/28/2024,8:00 AM,Central,1st Floor Main Entrance
6,8,12/28/2024,7:00 AM,Liberty Park,LP Main
1,0,12/28/2024,7:00 AM,Central,1st Floor NW Entrance
2,5,12/28/2024,6:00 AM,Indian Trail,IT Main
1,1,12/28/2024,6:00 AM,Central,1st Floor Main Entrance
0,2,12/28/2024,5:00 AM,South Hill,SO Main
0,1,12/28/2024,5:00 AM,Hillyard,HY North
17,21,12/28/2024,4:00 AM,South Hill,SO Main
4,5,12/28/2024,3:00 AM,South Hill,SO Main
8,5,12/28/2024,3:00 AM,Hillyard,HY North
1,0,12/28/2024,2:00 AM,Hillyard,HY North
1,1,12/28/2024,1:00 AM,South Hill,SO Main
2,4,12/27/2024,5:00 PM,South Hill,SO Main
0,5,12/27/2024,5:00 PM,Shadle Park,SH East
0,7,12/27/2024,5:00 PM,Liberty Park,LP Main
3,2,12/27/2024,5:00 PM,Indian Trail,IT Main
0,2,12/27/2024,5:00 PM,Hillyard,HY North
10,17,12/27/2024,5:00 PM,Central,1st Floor Main Entrance
33,52,12/27/2024,4:00 PM,South Hill,SO Main
