In,Out,Date,Time,Branch,Group
92,69,1/26/2024,3:00 PM,Liberty Park,LP Main
29,21,1/26/2024,3:00 PM,Indian Trail,IT Main
81,73,1/26/2024,3:00 PM,Hillyard,HY North
47,74,1/26/2024,3:00 PM,Central,1st Floor NW Entrance
63,53,1/26/2024,2:00 PM,South Hill,SO Main
105,71,1/26/2024,2:00 PM,Shadle Park,SH East
45,39,1/26/2024,2:00 PM,Liberty Park,LP Main
16,16,1/26/2024,2:00 PM,Indian Trail,IT Main
32,39,1/26/2024,2:00 PM,Hillyard,HY North
89,89,1/26/2024,2:00 PM,Central,1st Floor NW Entrance
119,70,1/26/2024,1:00 PM,South Hill,SO Main
76,72,1/26/2024,1:00 PM,Shadle Park,SH East
23,37,1/26/2024,1:00 PM,Liberty Park,LP Main
33,30,1/26/2024,1:00 PM,Indian Trail,IT Main
116,106,1/26/2024,1:00 PM,Hillyard,HY North
81,82,1/26/2024,1:00 PM,Central,1st Floor NW Entrance
69,93,1/26/2024,12:00 PM,South Hill,SO Main
87,149,1/26/2024,12:00 PM,Shadle Park,SH East
70,64,1/26/2024,12:00 PM,Liberty Park,LP Main
26,22,1/26/2024,12:00 PM,Indian Trail,IT Main
96,101,1/26/2024,12:00 PM,Hillyard,HY North
64,91,1/26/2024,12:00 PM,Central,1st Floor NW Entrance
109,88,1/26/2024,11:00 AM,South Hill,SO Main
84,73,1/26/2024,11:00 AM,Shadle Park,SH East
37,70,1/26/2024,11:00 AM,Liberty Park,LP Main
20,23,1/26/2024,11:00 AM,Indian Trail,IT Main
27,64,1/26/2024,11:00 AM,Hillyard,HY North
55,89,1/26/2024,11:00 AM,Central,1st Floor NW Entrance
114,49,1/26/2024,10:00 AM,South Hill,SO Main
121,34,1/26/2024,10:00 AM,Shadle Park,SH East
63,29,1/26/2024,10:00 AM,Liberty Park,LP Main
26,14,1/26/2024,10:00 AM,Indian Trail,IT Main
42,140,1/26/2024,10:00 AM,Hillyard,HY North
80,59,1/26/2024,10:00 AM,Central,1st Floor NW Entrance
11,8,1/26/2024,9:00 AM,South Hill,SO Main
1,1,1/26/2024,9:00 AM,Shadle Park,SH West
13,9,1/26/2024,9:00 AM,Liberty Park,LP Main
9,7,1/26/2024,9:00 AM,Indian Trail,IT Main
9,8,1/26/2024,9:00 AM,Hillyard,HY North
57,48,1/26/2024,9:00 AM,Central,1st Floor NW Entrance
11,12,1/26/2024,8:00 AM,South Hill,SO Main
14,23,1/26/2024,8:00 AM,Shadle Park,SH East
7,1,1/26/2024,8:00 AM,Liberty Park,LP Main
32,32,1/26/2024,8:00 AM,Indian Trail,IT Main
108,149,1/26/2024,8:00 AM,Hillyard,HY North
32,35,1/26/2024,8:00 AM,Central,1st Floor NW Entrance
12,21,1/26/2024,7:00 AM,South Hill,SO Main
17,18,1/26/2024,7:00 AM,Liberty Park,LP Main
5,7,1/26/2024,7:00 AM,Indian Trail,IT Main
15,19,1/26/2024,7:00 AM,Central,Basement Entrance
1,0,1/26/2024,6:00 AM,South Hill,SO Main
1,1,1/26/2024,6:00 AM,Hillyard,HY South
1,5,1/26/2024,6:00 AM,Central,Basement Entrance
6,9,1/26/2024,5:00 AM,Central,Basement Entrance
2,8,1/25/2024,11:00 PM,Hillyard,HY North
12,19,1/25/2024,10:00 PM,Hillyard,HY North
8,4,1/25/2024,9:00 PM,Hillyard,HY North
14,26,1/25/2024,8:00 PM,Central,Basement Entrance
1,0,1/25/2024,7:00 PM,South Hill,SO Main
3,33,1/25/2024,7:00 PM,Liberty Park,LP Main
2,0,1/25/2024,7:00 PM,Indian Trail,IT Main
0,3,1/25/2024,7:00 PM,Hillyard,HY North
4,14,1/25/2024,7:00 PM,Central,2nd Floor Entrance
9,18,1/25/2024,6:00 PM,South Hill,SO Main
18,48,1/25/2024,6:00 PM,Shadle Park,SH East
7,23,1/25/2024,6:00 PM,Liberty Park,LP Main
7,13,1/25/2024,6:00 PM,Indian Trail,IT Main
19,24,1/25/2024,6:00 PM,Hillyard,HY North
58,86,1/25/2024,6:00 PM,Central,1st Floor NW Entrance
19,26,1/25/2024,5:00 PM,South Hill,SO Main
31,57,1/25/2024,5:00 PM,Shadle Park,SH East
44,33,1/25/2024,5:00 PM,Liberty Park,LP Main
24,20,1/25/2024,5:00 PM,Indian Trail,IT Main
77,106,1/25/2024,5:00 PM,Hillyard,HY North
91,133,1/25/2024,5:00 PM,Central,1st Floor NW Entrance
50,56,1/25/2024,4:00 PM,South Hill,SO Main
64,71,1/25/2024,4:00 PM,Shadle Park,SH East
42,49,1/25/2024,4:00 PM,Liberty Park,LP Main
16,27,1/25/2024,4:00 PM,Indian Trail,IT Main
75,103,1/25/2024,4:00 PM,Hillyard,HY North
85,87,1/25/2024,4:00 PM,Central,1st Floor NW Entrance
70,64,1/25/2024,3:00 PM,South Hill,SO Main
107,84,1/25/2024,3:00 PM,Shadle Park,SH East
28,28,1/25/2024,3:00 PM,Liberty Park,LP Main
23,18,1/25/2024,3:00 PM,Indian Trail,IT Main
98,135,1/25/2024,3:00 PM,Hillyard,HY North
123,131,1/25/2024,3:00 PM,Central,1st Floor NW Entrance
71,76,1/25/2024,2:00 PM,South Hill,SO Main
79,65,1/25/2024,2:00 PM,Shadle Park,SH East
42,49,1/25/2024,2:00 PM,Liberty Park,LP Main
9,17,1/25/2024,2:00 PM,Indian Trail,IT Main
45,44,1/25/2024,2:00 PM,Hillyard,HY North
73,90,1/25/2024,2:00 PM,Central,1st Floor NW Entrance
77,81,1/25/2024,1:00 PM,South Hill,SO Main
65,69,1/25/2024,1:00 PM,Shadle Park,SH East
36,54,1/25/2024,1:00 PM,Liberty Park,LP Main
33,18,1/25/2024,1:00 PM,Indian Trail,IT Main
110,105,1/25/2024,1:00 PM,Hillyard,HY North
76,99,1/25/2024,1:00 PM,Central,1st Floor NW Entrance
84,107,1/25/2024,12:00 PM,South Hill,SO Main
74,105,1/25/2024,12:00 PM,Shadle Park,SH East
49,45,1/25/2024,12:00 PM,Liberty Park,LP Main
34,37,1/25/2024,12:00 PM,Indian Trail,IT Main
158,133,1/25/2024,12:00 PM,Hillyard,HY North
96,130,1/25/2024,12:00 PM,Central,1st Floor NW Entrance
102,95,1/25/2024,11:00 AM,South Hill,SO Main
98,149,1/25/2024,11:00 AM,Shadle Park,SH East
64,79,1/25/2024,11:00 AM,Liberty Park,LP Main
16,19,1/25/2024,11:00 AM,Indian Trail,IT Main
26,115,1/25/2024,11:00 AM,Hillyard,HY North
61,76,1/25/2024,11:00 AM,Central,1st Floor NW Entrance
95,75,1/25/2024,10:00 AM,South Hill,SO Main
99,74,1/25/2024,10:00 AM,Shadle Park,SH East
51,56,1/25/2024,10:00 AM,Liberty Park,LP Main
31,23,1/25/2024,10:00 AM,Indian Trail,IT Main
42,266,1/25/2024,10:00 AM,Hillyard,HY North
31,63,1/25/2024,10:00 AM,Central,1st Floor NW Entrance
67,38,1/25/2024,9:00 AM,South Hill,SO Main
108,35,1/25/2024,9:00 AM,Shadle Park,SH East
48,16,1/25/2024,9:00 AM,Liberty Park,LP Main
19,11,1/25/2024,9:00 AM,Indian Trail,IT Main
44,24,1/25/2024,9:00 AM,Hillyard,HY North
104,112,1/25/2024,9:00 AM,Central,1st Floor NW Entrance
22,5,1/25/2024,8:00 AM,South Hill,SO Main
11,26,1/25/2024,8:00 AM,Liberty Park,LP Main
18,16,1/25/2024,8:00 AM,Indian Trail,IT Main
118,130,1/25/2024,8:00 AM,Hillyard,HY North
31,42,1/25/2024,8:00 AM,Central,1st Floor NW Entrance
12,9,1/25/2024,7:00 AM,South Hill,SO Main
19,14,1/25/2024,7:00 AM,Shadle Park,SH East
6,2,1/25/2024,7:00 AM,Liberty Park,LP Main
6,6,1/25/2024,7:00 AM,Indian Trail,IT Main
8,13,1/25/2024,7:00 AM,Central,1st Floor NW Entrance
0,4,1/25/2024,6:00 AM,South Hill,SO Main
6,6,1/25/2024,6:00 AM,Indian Trail,IT Main
14,9,1/25/2024,6:00 AM,Central,1st Floor NW Entrance
0,46,1/25/2024,5:00 AM,Hillyard,HY North
15,6,1/25/2024,5:00 AM,Central,Basement Entrance
0,15,1/25/2024,4:00 AM,Hillyard,HY North
4,3,1/24/2024,11:00 PM,Hillyard,HY North
14,112,1/24/2024,10:00 PM,Hillyard,HY North
1,8,1/24/2024,9:00 PM,Central,Basement Entrance
0,6,1/24/2024,7:00 PM,Liberty Park,LP Main
2,0,1/24/2024,7:00 PM,Indian Trail,IT Main
0,3,1/24/2024,7:00 PM,Hillyard,HY North
16,21,1/24/2024,7:00 PM,Central,1st Floor NW Entrance
38,27,1/24/2024,6:00 PM,South Hill,SO Main
13,60,1/24/2024,6:00 PM,Shadle Park,SH East
12,19,1/24/2024,6:00 PM,Liberty Park,LP Main
12,21,1/24/2024,6:00 PM,Indian Trail,IT Main
17,42,1/24/2024,6:00 PM,Hillyard,HY North
53,94,1/24/2024,6:00 PM,Central,1st Floor NW Entrance
19,32,1/24/2024,5:00 PM,South Hill,SO Main
51,88,1/24/2024,5:00 PM,Shadle Park,SH East
15,36,1/24/2024,5:00 PM,Liberty Park,LP Main
14,22,1/24/2024,5:00 PM,Indian Trail,IT Main
27,29,1/24/2024,5:00 PM,Hillyard,HY North
71,102,1/24/2024,5:00 PM,Central,1st Floor NW Entrance
57,67,1/24/2024,4:00 PM,South Hill,SO Main
77,78,1/24/2024,4:00 PM,Shadle Park,SH East
39,66,1/24/2024,4:00 PM,Liberty Park,LP Main
44,31,1/24/2024,4:00 PM,Indian Trail,IT Main
22,28,1/24/2024,4:00 PM,Hillyard,HY North
71,110,1/24/2024,4:00 PM,Central,1st Floor NW Entrance
63,35,1/24/2024,3:00 PM,South Hill,SO Main
99,63,1/24/2024,3:00 PM,Shadle Park,SH East
43,44,1/24/2024,3:00 PM,Liberty Park,LP Main
24,25,1/24/2024,3:00 PM,Indian Trail,IT Main
123,149,1/24/2024,3:00 PM,Hillyard,HY North
81,113,1/24/2024,3:00 PM,Central,1st Floor NW Entrance
51,45,1/24/2024,2:00 PM,South Hill,SO Main
66,106,1/24/2024,2:00 PM,Shadle Park,SH East
38,55,1/24/2024,2:00 PM,Liberty Park,LP Main
34,39,1/24/2024,2:00 PM,Indian Trail,IT Main
37,32,1/24/2024,2:00 PM,Hillyard,HY North
82,104,1/24/2024,2:00 PM,Central,1st Floor NW Entrance
58,80,1/24/2024,1:00 PM,South Hill,SO Main
69,73,1/24/2024,1:00 PM,Shadle Park,SH East
46,44,1/24/2024,1:00 PM,Liberty Park,LP Main
16,15,1/24/2024,1:00 PM,Indian Trail,IT Main
158,246,1/24/2024,1:00 PM,Hillyard,HY North
77,107,1/24/2024,1:00 PM,Central,1st Floor NW Entrance
68,56,1/24/2024,12:00 PM,South Hill,SO Main
104,74,1/24/2024,12:00 PM,Shadle Park,SH East
35,43,1/24/2024,12:00 PM,Liberty Park,LP Main
19,12,1/24/2024,12:00 PM,Indian Trail,IT Main
157,144,1/24/2024,12:00 PM,Hillyard,HY North
96,132,1/24/2024,12:00 PM,Central,1st Floor NW Entrance
68,63,1/24/2024,11:00 AM,South Hill,SO Main
61,89,1/24/2024,11:00 AM,Shadle Park,SH East
55,85,1/24/2024,11:00 AM,Liberty Park,LP Main
14,68,1/24/2024,11:00 AM,Indian Trail,IT Main
45,170,1/24/2024,11:00 AM,Hillyard,HY North
69,69,1/24/2024,11:00 AM,Central,1st Floor NW Entrance
71,82,1/24/2024,10:00 AM,South Hill,SO Main
82,42,1/24/2024,10:00 AM,Shadle Park,SH East
70,78,1/24/2024,10:00 AM,Liberty Park,LP Main
60,56,1/24/2024,10:00 AM,Indian Trail,IT Main
41,167,1/24/2024,10:00 AM,Hillyard,HY North
90,105,1/24/2024,10:00 AM,Central,1st Floor NW Entrance
64,36,1/24/2024,9:00 AM,South Hill,SO Main
70,28,1/24/2024,9:00 AM,Shadle Park,SH East
106,40,1/24/2024,9:00 AM,Liberty Park,LP Main
70,21,1/24/2024,9:00 AM,Indian Trail,IT Main
67,126,1/24/2024,9:00 AM,Hillyard,HY North
86,98,1/24/2024,9:00 AM,Central,1st Floor NW Entrance
23,6,1/24/2024,8:00 AM,South Hill,SO Main
6,7,1/24/2024,8:00 AM,Shadle Park,SH East
16,21,1/24/2024,8:00 AM,Liberty Park,LP Main
7,11,1/24/2024,8:00 AM,Indian Trail,IT Main
107,95,1/24/2024,8:00 AM,Hillyard,HY North
72,69,1/24/2024,8:00 AM,Central,1st Floor NW Entrance
24,17,1/24/2024,7:00 AM,Shadle Park,SH West
6,0,1/24/2024,7:00 AM,Liberty Park,LP Main
11,15,1/24/2024,7:00 AM,Indian Trail,IT Main
7,8,1/24/2024,7:00 AM,Central,1st Floor NW Entrance
6,10,1/24/2024,6:00 AM,South Hill,SO Main
7,9,1/24/2024,6:00 AM,Indian Trail,IT Main
14,10,1/24/2024,6:00 AM,Central,2nd Floor Entrance
10,4,1/24/2024,5:00 AM,Central,Basement Entrance
4,5,1/23/2024,11:00 PM,Hillyard,HY North
11,33,1/23/2024,10:00 PM,Hillyard,HY North
12,9,1/23/2024,9:00 PM,Hillyard,HY North
4,5,1/23/2024,7:00 PM,South Hill,SO Main
0,5,1/23/2024,7:00 PM,Liberty Park,LP Main
1,1,1/23/2024,7:00 PM,Indian Trail,IT Main
2,4,1/23/2024,7:00 PM,Hillyard,HY North
13,15,1/23/2024,7:00 PM,Central,1st Floor NW Entrance
18,32,1/23/2024,6:00 PM,South Hill,SO Main
7,96,1/23/2024,6:00 PM,Shadle Park,SH East
4,33,1/23/2024,6:00 PM,Liberty Park,LP Main
9,20,1/23/2024,6:00 PM,Indian Trail,IT Main
20,42,1/23/2024,6:00 PM,Hillyard,HY North
47,94,1/23/2024,6:00 PM,Central,1st Floor NW Entrance
27,55,1/23/2024,5:00 PM,South Hill,SO Main
88,47,1/23/2024,5:00 PM,Shadle Park,SH East
26,42,1/23/2024,5:00 PM,Liberty Park,LP Main
26,36,1/23/2024,5:00 PM,Indian Trail,IT Main
21,31,1/23/2024,5:00 PM,Hillyard,HY North
70,76,1/23/2024,5:00 PM,Central,1st Floor NW Entrance
82,62,1/23/2024,4:00 PM,South Hill,SO Main
52,76,1/23/2024,4:00 PM,Shadle Park,SH East
30,32,1/23/2024,4:00 PM,Liberty Park,LP Main
37,68,1/23/2024,4:00 PM,Indian Trail,IT Main
46,33,1/23/2024,4:00 PM,Hillyard,HY North
83,77,1/23/2024,4:00 PM,Central,1st Floor NW Entrance
65,61,1/23/2024,3:00 PM,South Hill,SO Main
71,67,1/23/2024,3:00 PM,Shadle Park,SH East
36,30,1/23/2024,3:00 PM,Liberty Park,LP Main
58,36,1/23/2024,3:00 PM,Indian Trail,IT Main
109,106,1/23/2024,3:00 PM,Hillyard,HY North
88,116,1/23/2024,3:00 PM,Central,1st Floor NW Entrance
63,49,1/23/2024,2:00 PM,South Hill,SO Main
64,80,1/23/2024,2:00 PM,Shadle Park,SH East
37,50,1/23/2024,2:00 PM,Liberty Park,LP Main
16,10,1/23/2024,2:00 PM,Indian Trail,IT Main
72,75,1/23/2024,2:00 PM,Hillyard,HY North
79,83,1/23/2024,2:00 PM,Central,1st Floor NW Entrance
49,49,1/23/2024,1:00 PM,South Hill,SO Main
78,68,1/23/2024,1:00 PM,Shadle Park,SH East
33,28,1/23/2024,1:00 PM,Liberty Park,LP Main
26,22,1/23/2024,1:00 PM,Indian Trail,IT Main
155,133,1/23/2024,1:00 PM,Hillyard,HY North
56,87,1/23/2024,1:00 PM,Central,1st Floor NW Entrance
66,72,1/23/2024,12:00 PM,South Hill,SO Main
65,75,1/23/2024,12:00 PM,Shadle Park,SH East
48,59,1/23/2024,12:00 PM,Liberty Park,LP Main
21,26,1/23/2024,12:00 PM,Indian Trail,IT Main
128,123,1/23/2024,12:00 PM,Hillyard,HY North
75,104,1/23/2024,12:00 PM,Central,1st Floor NW Entrance
107,135,1/23/2024,11:00 AM,South Hill,SO Main
90,137,1/23/2024,11:00 AM,Shadle Park,SH East
53,116,1/23/2024,11:00 AM,Liberty Park,LP Main
21,47,1/23/2024,11:00 AM,Indian Trail,IT Main
45,35,1/23/2024,11:00 AM,Hillyard,HY North
62,86,1/23/2024,11:00 AM,Central,1st Floor NW Entrance
103,86,1/23/2024,10:00 AM,South Hill,SO Main
107,81,1/23/2024,10:00 AM,Shadle Park,SH East
95,96,1/23/2024,10:00 AM,Liberty Park,LP Main
46,45,1/23/2024,10:00 AM,Indian Trail,IT Main
56,52,1/23/2024,10:00 AM,Hillyard,HY North
59,68,1/23/2024,10:00 AM,Central,1st Floor NW Entrance
133,64,1/23/2024,9:00 AM,South Hill,SO Main
108,28,1/23/2024,9:00 AM,Shadle Park,SH East
76,20,1/23/2024,9:00 AM,Liberty Park,LP Main
46,16,1/23/2024,9:00 AM,Indian Trail,IT Main
55,40,1/23/2024,9:00 AM,Hillyard,HY North
57,57,1/23/2024,9:00 AM,Central,1st Floor NW Entrance
27,28,1/23/2024,8:00 AM,South Hill,SO Main
2,0,1/23/2024,8:00 AM,Shadle Park,SH East
10,19,1/23/2024,8:00 AM,Liberty Park,LP Main
3,4,1/23/2024,8:00 AM,Indian Trail,IT Main
129,103,1/23/2024,8:00 AM,Hillyard,HY North
87,91,1/23/2024,8:00 AM,Central,1st Floor Main Entrance
29,11,1/23/2024,7:00 AM,South Hill,SO Main
11,16,1/23/2024,7:00 AM,Shadle Park,SH East
5,0,1/23/2024,7:00 AM,Liberty Park,LP Main
1,0,1/23/2024,7:00 AM,Hillyard,HY South
12,12,1/23/2024,7:00 AM,Central,1st Floor Main Entrance
6,6,1/23/2024,6:00 AM,South Hill,SO Main
20,18,1/23/2024,6:00 AM,Indian Trail,IT Main
11,8,1/23/2024,6:00 AM,Central,1st Floor NW Entrance
1,0,1/23/2024,5:00 AM,Indian Trail,IT Main
14,9,1/23/2024,5:00 AM,Central,Basement Entrance
3,25,1/22/2024,11:00 PM,Hillyard,HY North
17,24,1/22/2024,10:00 PM,Hillyard,HY North
2,1,1/22/2024,9:00 PM,Hillyard,HY South
2,2,1/22/2024,7:00 PM,South Hill,SO Main
0,2,1/22/2024,7:00 PM,Liberty Park,LP Main
0,6,1/22/2024,7:00 PM,Hillyard,HY North
2,4,1/22/2024,7:00 PM,Central,1st Floor NW Entrance
20,58,1/22/2024,6:00 PM,South Hill,SO Main
22,41,1/22/2024,6:00 PM,Shadle Park,SH East
16,65,1/22/2024,6:00 PM,Liberty Park,LP Main
15,21,1/22/2024,6:00 PM,Indian Trail,IT Main
16,24,1/22/2024,6:00 PM,Hillyard,HY North
19,42,1/22/2024,6:00 PM,Central,1st Floor NW Entrance
55,44,1/22/2024,5:00 PM,South Hill,SO Main
54,99,1/22/2024,5:00 PM,Shadle Park,SH East
23,34,1/22/2024,5:00 PM,Liberty Park,LP Main
16,28,1/22/2024,5:00 PM,Indian Trail,IT Main
24,33,1/22/2024,5:00 PM,Hillyard,HY North
56,70,1/22/2024,5:00 PM,Central,1st Floor NW Entrance
65,97,1/22/2024,4:00 PM,South Hill,SO Main
84,111,1/22/2024,4:00 PM,Shadle Park,SH East
42,50,1/22/2024,4:00 PM,Liberty Park,LP Main
21,18,1/22/2024,4:00 PM,Indian Trail,IT Main
40,44,1/22/2024,4:00 PM,Hillyard,HY North
68,115,1/22/2024,4:00 PM,Central,1st Floor NW Entrance
119,82,1/22/2024,3:00 PM,South Hill,SO Main
111,85,1/22/2024,3:00 PM,Shadle Park,SH East
43,38,1/22/2024,3:00 PM,Liberty Park,LP Main
37,29,1/22/2024,3:00 PM,Indian Trail,IT Main
64,55,1/22/2024,3:00 PM,Hillyard,HY North
55,102,1/22/2024,3:00 PM,Central,1st Floor NW Entrance
73,71,1/22/2024,2:00 PM,South Hill,SO Main
83,61,1/22/2024,2:00 PM,Shadle Park,SH East
22,26,1/22/2024,2:00 PM,Liberty Park,LP Main
20,30,1/22/2024,2:00 PM,Indian Trail,IT Main
19,23,1/22/2024,2:00 PM,Hillyard,HY North
59,92,1/22/2024,2:00 PM,Central,1st Floor NW Entrance
80,46,1/22/2024,1:00 PM,South Hill,SO Main
65,71,1/22/2024,1:00 PM,Shadle Park,SH East
40,51,1/22/2024,1:00 PM,Liberty Park,LP Main
23,20,1/22/2024,1:00 PM,Indian Trail,IT Main
167,169,1/22/2024,1:00 PM,Hillyard,HY North
48,64,1/22/2024,1:00 PM,Central,1st Floor NW Entrance
55,79,1/22/2024,12:00 PM,South Hill,SO Main
71,70,1/22/2024,12:00 PM,Shadle Park,SH East
32,37,1/22/2024,12:00 PM,Liberty Park,LP Main
18,18,1/22/2024,12:00 PM,Indian Trail,IT Main
143,120,1/22/2024,12:00 PM,Hillyard,HY North
82,101,1/22/2024,12:00 PM,Central,1st Floor NW Entrance
77,89,1/22/2024,11:00 AM,South Hill,SO Main
77,131,1/22/2024,11:00 AM,Shadle Park,SH East
23,40,1/22/2024,11:00 AM,Liberty Park,LP Main
30,36,1/22/2024,11:00 AM,Indian Trail,IT Main
88,48,1/22/2024,11:00 AM,Hillyard,HY North
69,103,1/22/2024,11:00 AM,Central,1st Floor NW Entrance
102,62,1/22/2024,10:00 AM,South Hill,SO Main
120,91,1/22/2024,10:00 AM,Shadle Park,SH East
47,30,1/22/2024,10:00 AM,Liberty Park,LP Main
24,18,1/22/2024,10:00 AM,Indian Trail,IT Main
37,35,1/22/2024,10:00 AM,Hillyard,HY North
175,119,1/22/2024,10:00 AM,Central,1st Floor NW Entrance
105,46,1/22/2024,9:00 AM,South Hill,SO Main
96,15,1/22/2024,9:00 AM,Shadle Park,SH East
53,18,1/22/2024,9:00 AM,Liberty Park,LP Main
14,5,1/22/2024,9:00 AM,Indian Trail,IT Main
172,114,1/22/2024,9:00 AM,Hillyard,HY North
30,33,1/22/2024,9:00 AM,Central,1st Floor NW Entrance
7,8,1/22/2024,8:00 AM,South Hill,SO Main
12,21,1/22/2024,8:00 AM,Liberty Park,LP Main
11,31,1/22/2024,8:00 AM,Indian Trail,IT Main
8,8,1/22/2024,8:00 AM,Hillyard,HY North
27,26,1/22/2024,8:00 AM,Central,1st Floor NW Entrance
10,10,1/22/2024,7:00 AM,South Hill,SO Main
10,10,1/22/2024,7:00 AM,Indian Trail,IT Main
3,2,1/22/2024,7:00 AM,Hillyard,HY South
17,17,1/22/2024,7:00 AM,Central,Basement Entrance
8,10,1/22/2024,6:00 AM,Indian Trail,IT Main
4,8,1/22/2024,6:00 AM,Hillyard,HY North
4,8,1/22/2024,6:00 AM,Central,1st Floor NW Entrance
12,4,1/22/2024,5:00 AM,Central,Basement Entrance
2,3,1/21/2024,10:00 PM,Central,1st Floor NW Entrance
2,7,1/21/2024,9:00 PM,Central,1st Floor NW Entrance
5,2,1/21/2024,8:00 PM,Central,Basement Entrance
1,1,1/21/2024,4:00 PM,South Hill,SO Main
1,4,1/21/2024,4:00 PM,Liberty Park,LP Main
0,7,1/21/2024,4:00 PM,Hillyard,HY North
9,15,1/21/2024,4:00 PM,Central,1st Floor NW Entrance
60,115,1/21/2024,3:00 PM,South Hill,SO Main
47,121,1/21/2024,3:00 PM,Shadle Park,SH East
28,74,1/21/2024,3:00 PM,Liberty Park,LP Main
43,65,1/21/2024,3:00 PM,Indian Trail,IT Main
42,89,1/21/2024,3:00 PM,Hillyard,HY North
57,103,1/21/2024,3:00 PM,Central,1st Floor NW Entrance
67,59,1/21/2024,2:00 PM,South Hill,SO Main
84,80,1/21/2024,2:00 PM,Shadle Park,SH East
34,30,1/21/2024,2:00 PM,Liberty Park,LP Main
26,23,1/21/2024,2:00 PM,Indian Trail,IT Main
28,40,1/21/2024,2:00 PM,Hillyard,HY North
94,104,1/21/2024,2:00 PM,Central,1st Floor NW Entrance
48,46,1/21/2024,1:00 PM,South Hill,SO Main
62,57,1/21/2024,1:00 PM,Shadle Park,SH East
38,29,1/21/2024,1:00 PM,Liberty Park,LP Main
30,22,1/21/2024,1:00 PM,Indian Trail,IT Main
47,34,1/21/2024,1:00 PM,Hillyard,HY North
84,114,1/21/2024,1:00 PM,Central,1st Floor NW Entrance
76,44,1/21/2024,12:00 PM,South Hill,SO Main
120,56,1/21/2024,12:00 PM,Shadle Park,SH East
42,20,1/21/2024,12:00 PM,Liberty Park,LP Main
26,16,1/21/2024,12:00 PM,Indian Trail,IT Main
50,25,1/21/2024,12:00 PM,Hillyard,HY North
116,81,1/21/2024,12:00 PM,Central,1st Floor NW Entrance
2,0,1/21/2024,11:00 AM,Shadle Park,SH West
2,0,1/21/2024,11:00 AM,Liberty Park,LP Main
2,1,1/21/2024,11:00 AM,Hillyard,HY North
8,4,1/21/2024,11:00 AM,Central,1st Floor NW Entrance
2,2,1/21/2024,10:00 AM,Central,Basement Entrance
10,6,1/21/2024,9:00 AM,Indian Trail,IT Main
12,10,1/21/2024,8:00 AM,Shadle Park,SH East
1,1,1/21/2024,8:00 AM,Liberty Park,LP Main
21,38,1/21/2024,8:00 AM,Indian Trail,IT Main
11,11,1/21/2024,7:00 AM,Indian Trail,IT Main
0,1,1/21/2024,7:00 AM,Hillyard,HY North
0,3,1/21/2024,7:00 AM,Central,1st Floor NW Entrance
1,1,1/21/2024,6:00 AM,Indian Trail,IT Main
3,9,1/21/2024,5:00 AM,Liberty Park,LP Main
2,1,1/21/2024,5:00 AM,Hillyard,HY North
16,27,1/21/2024,4:00 AM,Hillyard,HY North
2,3,1/21/2024,3:00 AM,Hillyard,HY North
6,21,1/20/2024,11:00 PM,Central,Basement Entrance
27,53,1/20/2024,10:00 PM,Central,Basement Entrance
5,5,1/20/2024,9:00 PM,Central,Basement Entrance
24,43,1/20/2024,8:00 PM,Central,Basement Entrance
1,2,1/20/2024,7:00 PM,Central,Basement Entrance
0,4,1/20/2024,6:00 PM,Shadle Park,SH East
17,27,1/20/2024,6:00 PM,Central,Basement Entrance
6,7,1/20/2024,5:00 PM,South Hill,SO Main
8,8,1/20/2024,5:00 PM,Shadle Park,SH East
1,5,1/20/2024,5:00 PM,Liberty Park,LP Main
2,1,1/20/2024,5:00 PM,Indian Trail,IT Main
0,3,1/20/2024,5:00 PM,Hillyard,HY North
47,44,1/20/2024,5:00 PM,Central,1st Floor NW Entrance
50,102,1/20/2024,4:00 PM,South Hill,SO Main
67,146,1/20/2024,4:00 PM,Shadle Park,SH East
41,111,1/20/2024,4:00 PM,Liberty Park,LP Main
6,25,1/20/2024,4:00 PM,Indian Trail,IT Main
19,39,1/20/2024,4:00 PM,Hillyard,HY North
85,133,1/20/2024,4:00 PM,Central,1st Floor NW Entrance
69,72,1/20/2024,3:00 PM,South Hill,SO Main
69,85,1/20/2024,3:00 PM,Shadle Park,SH East
75,78,1/20/2024,3:00 PM,Liberty Park,LP Main
18,9,1/20/2024,3:00 PM,Indian Trail,IT Main
22,35,1/20/2024,3:00 PM,Hillyard,HY North
99,118,1/20/2024,3:00 PM,Central,1st Floor NW Entrance
69,53,1/20/2024,2:00 PM,South Hill,SO Main
119,135,1/20/2024,2:00 PM,Shadle Park,SH East
97,111,1/20/2024,2:00 PM,Liberty Park,LP Main
18,19,1/20/2024,2:00 PM,Indian Trail,IT Main
13,25,1/20/2024,2:00 PM,Hillyard,HY North
122,146,1/20/2024,2:00 PM,Central,1st Floor NW Entrance
75,76,1/20/2024,1:00 PM,South Hill,SO Main
79,69,1/20/2024,1:00 PM,Shadle Park,SH East
41,26,1/20/2024,1:00 PM,Liberty Park,LP Main
26,20,1/20/2024,1:00 PM,Indian Trail,IT Main
18,23,1/20/2024,1:00 PM,Hillyard,HY North
88,103,1/20/2024,1:00 PM,Central,1st Floor NW Entrance
76,51,1/20/2024,12:00 PM,South Hill,SO Main
109,52,1/20/2024,12:00 PM,Shadle Park,SH East
